Categoria,Descriptor,RLV-E 1,RLV-E 2,RLV-E 3,RLV-E 4,RLV-E 5
HOJA,FORMA DE LA HOJA,ELÍPTICA,ELÍPTICA,ELÍPTICA,ELÍPTICA,ELÍPTICA
HOJA,FORMA DEL ÁNGULO,ARISTADO,ARISTADO,ARISTADO,ARISTADO,ARISTADO
HOJA,FORMA DE LA BASE,OBTUSO,CUNEIFORME,CUNEIFORME,CUNEIFORME,CUNEIFORME
HOJA,ANCHO DE LA HOJA (cm),11.3,9.98,11.44,9.42,8.7
HOJA,LONGITUD DE LA HOJA (cm),31.2,27.12,34.6,25.16,25.32
HOJA,LONGITUD DEL PECÍOLO (cm),1.08,1.04,1.08,0.82,0.96
HOJA,LONGITUD DE LA BASE AL PUNTO MÁS ANCHO (cm),16.1,14.9,18.9,14.28,14.86
FLOR,PEDICELO LONGITUD (mm),1.63,1.6,1.6,1.72,1.4
FLOR,PEDICELO ANCHO (mm),0.08,0.1,0.1,0.1,0.1
FLOR,SÉPALO LONGITUD (mm),0.76,0.78,0.68,0.82,0.66
FLOR,SÉPALO ANCHO (mm),0.22,0.22,0.16,0.2,0.2
FLOR,LÍGULA LONGITUD (mm),0.85,0.7,0.51,0.52,0.64
FLOR,LÍGULA ANCHO (mm),0.24,0.21,0.12,0.35,0.5
FLOR,FILAMENTO LONGITUD (mm),0.17,0.25,0.22,0.25,0.25
FLOR,FILAMENTO ANCHO (mm),0.04,0.03,0.03,0.04,0.04
FLOR,ESTAMINOIDE LONGITUD (mm),0.6,0.64,0.48,0.56,0.42
FLOR,ESTAMINOIDE ANCHO (mm),0.06,0.06,0.03,0.1,0.1
FLOR,ESTILO LONGITUD (mm),0.15,0.17,0.26,0.24,0.16
FLOR,ESTILO ANCHO (mm),0.07,0.03,0.03,0.03,0.02
FLOR,OVARIO LONGITUD (mm),0.17,0.18,0.15,0.18,0.17
FLOR,OVARIO ANCHO (mm),0.1,0.11,0.1,0.1,0.1
FLOR,NÚMERO DE RUDIMENTOS SEMINALES (ÓVULOS),41.6,42.6,41,39.6,39.6
FRUTO,COLOR INMADURO,VERDE,VERDE,VERDE,VERDE,VERDE
FRUTO,COLOR MADURO,AMARILLO MOSTAZA,NARANJA,AMARILLO ZINNIA,AMARILLO AMERICANO,AMARILLO MOSTAZA
FRUTO,FORMA FRUTO,AMELONADO,CRIOLLO,AMELONADO,CRIOLLO,CRIOLLO
FRUTO,ÁPICE,AGUDO,DENTADO,AGUDO,ANGOLETA,AGUDO
FRUTO,CONSTRICCIÓN BASAL 3/,SUAVE,INTERMEDIO,SUAVE,INTERMEDIO,INTERMEDIO
FRUTO,CÁSCARA RUGOSIDAD,INTERMEDIA,INTERMEDIA,INTERMEDIA,OBTUSO,SUAVE
FRUTO,CÁSCARA DUREZA,FUERTE,INTERMEDIO,INTERMEDIO,INTERMEDIO,INTERMEDIO
OTRAS,PESO (g),503,481,291,314.6,295.6
OTRAS,LONGITUD (cm),18.8,18.86,16.26,17.62,19.84
OTRAS,DIÁMETRO (cm),8.53,8.8,8.4,8,8.46
SEMILLAS,PESO FRESCO POR FRUTO (g),93,107.7,87,96.2,104.8
SEMILLAS,NÚMERO SEMILLAS POR FRUTO,34,33,31,35,34
CABALLETE,ESPESOR (cm),1.46,1.58,1.4,1.24,1.36
SURCO,PROFUNDIDAD (cm),0.96,1.14,1.04,0.9,1.12
SEMILLA,COLOR COTILEDÓN,VIOLETA,VIOLETA,VIOLETA,LILA,LILA
SEMILLA,FORMA,IRREGULAR,OBLONGA,OBLONGA,OVALADA,OVALADA
SEMILLA,FORMA DEL CORTE TRANSVERSAL,INTERMEDIA,APLANADA,APLANADA,APLANADA,APLANADA
SEMILLA,LONGITUD (cm),2.4,2.56,2.34,2.63,2.65
SEMILLA,DIÁMETRO (cm),1.5,1.34,1.31,1.44,1.64
SEMILLA,ESPESOR (cm),0.97,0.98,0.87,0.78,0.73
